,Edición,Actor,Actriz,Actor de reparto,Actriz de reparto,Actor revelación,Actriz revelación,"Goya de honor
Goya Internacional"
0,I - 1986,Fernando Fernán Gómez (1)(Mambrú se fue a la guerra),Amparo Rivelles(Hay que deshacer la casa),Miguel Rellán(Tata mía),Verónica Forqué (1)(El año de las luces),—,—,José Fernández Aguayo
1,II - 1987,Alfredo Landa (1)(El bosque animado),Verónica Forqué (2)(La vida alegre),Juan Echanove (1)(Divinas palabras),Verónica Forqué (3)(Moros y cristianos),—,—,Rafaela Aparicio
2,III - 1988,Fernando Rey(Diario de invierno),Carmen Maura (1)(Mujeres al borde de un ataque de nervios),"José Sazatornil ""Saza""(Espérame en el cielo)",María Barranco (1)(Mujeres al borde de un ataque de nervios),—,—,Imperio Argentina
3,IV - 1989,Jorge Sanz(Si te dicen que caí),Rafaela Aparicio(El mar y el tiempo),Adolfo Marsillach(Esquilache),María Asquerino(El mar y el tiempo),—,—,Victoriano López García
4,V - 1990,"Andrés Pajares(¡Ay, Carmela!)","Carmen Maura (2)(¡Ay, Carmela!)","Gabino Diego(¡Ay, Carmela!)",María Barranco (2)(Las edades de Lulú),—,—,Enrique Alarcón
5,VI - 1991,Fernando Guillén(Don Juan en los infiernos),Sílvia Munt(Alas de mariposa),Juan Diego (1)(El rey pasmado),Kiti Manver(Todo por la pasta),—,—,Emiliano Piedra
6,VII - 1992,Alfredo Landa (2)(La marrana),Ariadna Gil(Belle Époque),Fernando Fernán Gómez (2)(Belle Époque),Chus Lampreave(Belle Époque),—,—,Manuel Mur Oti
7,VIII - 1993,Juan Echanove (2)(Madregilda),Verónica Forqué (4)(Kika),Fernando «Tito» Valverde(Sombras en una batalla),Rosa María Sardá (1)(¿Por qué lo llaman amor cuando quieren decir sexo?),—,—,Tony Leblanc (1)
8,IX - 1994,Carmelo Gómez (1)(Días contados),Cristina Marcos(Todos los hombres sois iguales),Javier Bardem (1)(Días contados),María Luisa Ponte(Canción de cuna),"Saturnino García(Justino, un asesino de la tercera edad)",Ruth Gabriel(Días contados),José María Forqué
9,X - 1995,Javier Bardem (2)(Boca a boca),Victoria Abril(Nadie hablará de nosotras cuando hayamos muerto),Luis Ciges(Así en el cielo como en la tierra),Pilar Bardem(Nadie hablará de nosotras cuando hayamos muerto),Santiago Segura(El día de la bestia),Rosana Pastor(Tierra y libertad),Federico Gutiérrez-Larraya
10,XI - 1996,Santiago Ramos(Como un relámpago),Emma Suárez (1)(El perro del hortelano),Luis Cuenca(La buena vida),Mary Carrillo(Más allá del jardín),Fele Martínez(Tesis),Íngrid Rubio(Más allá del jardín),Miguel Picazo
11,XII - 1997,Antonio Resines(La buena estrella),Cecilia Roth (1)(Martín (Hache)),Pepe Sancho(Carne trémula),Charo López(Secretos del corazón),Andoni Erburu(Secretos del corazón),Isabel Ordaz(Chevrolet),Rafael Azcona
12,XIII - 1998,Fernando Fernán Gómez (3)(El abuelo),Penélope Cruz (1)(La niña de tus ojos),Tony Leblanc (2)(Torrente: el brazo tonto de la ley),Adriana Ozores(La hora de los valientes),Miroslav Táborský(La niña de tus ojos),Marieta Orozco(Barrio),Rafael Alonso
13,XIV - 1999,Francisco Rabal(Goya en Burdeos),Cecilia Roth (2)(Todo sobre mi madre),Juan Diego (2)(París-Tombuctú),María Galiana(Solas),Carlos Álvarez-Nóvoa(Solas),Ana Fernández(Solas),Antonio Isasi-Isasmendi
14,XV - 2000,Juan Luis Galiardo(Adiós con el corazón),Carmen Maura (3)(La comunidad),Emilio Gutiérrez Caba (1)(La comunidad),Julia Gutiérrez Caba(You're the One (una historia de entonces)),Juan José Ballesta(El Bola),Laia Marull (1)(Fugitivas),José Luis Dibildos
15,XVI - 2001,Eduard Fernández (1)(Fausto 5.0),Pilar López de Ayala(Juana la Loca),Emilio Gutiérrez Caba (2)(El cielo abierto),Rosa María Sardá (2)(Sin vergüenza),Leonardo Sbaraglia(Intacto),Paz Vega(Lucía y el sexo),Juan Antonio Bardem
16,XVII - 2002,Javier Bardem (3)(Los lunes al sol),Mercedes Sampietro(Lugares comunes),Luis Tosar (1)(Los lunes al sol),Geraldine Chaplin(En la ciudad sin límites),José Ángel Egido(Los lunes al sol),Lolita Flores(Rencor),Manuel Alexandre
17,XVIII - 2003,Luis Tosar (2)(Te doy mis ojos),Laia Marull (2)(Te doy mis ojos),Eduard Fernández (2)(En la ciudad),Candela Peña (1)(Te doy mis ojos),Fernando Tejero(Días de fútbol),María Valverde(La flaqueza del bolchevique),Héctor Alterio
